"Nachname","Vorname","Stimmen","BFS-Nr.","Gemeindenamen","Bisher","Gewählt","Wahlkreis-Nr.","Wahlkreis","Kandidaten-Nr."
"Akyol","Ezgi","7","58","Glattfelden","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","0","59","Hochfelden","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","2","60","Höri","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","6","61","Hüntwangen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","20","62","Kloten","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","2","63","Lufingen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","1","64","Nürensdorf","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","1","65","Oberembrach","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","43","66","Opfikon","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","6","67","Rafz","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","14","68","Rorbas","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","31","69","Wallisellen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","2","70","Wasterkingen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","2","71","Wil","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","11","72","Winkel","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
