Stand,Kanton,Jahr,Stufe,Typ,Geschlecht,Finanzierung,Land,Anzahl
23.11.2020,zh,2001,Sekundarstufe I,Handelsmittelschule,F,oef,Portugal,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Liechtenstein,1
23.11.2020,zh,2001,Sekundarstufe I,Handelsmittelschule,F,oef,Türkei,1
23.11.2020,zh,2001,Sekundarstufe I,Handelsmittelschule,F,oef,Schweiz,66
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,priv,Deutschland,4
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Süd-/Osteuropa,13
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,priv,Österreich,3
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,priv,Nord-/Westeuropa,2
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Asien,20
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Frankreich,6
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Mittel- und Südamerika,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Staat unbekannt,3
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Afrika,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Serbien,17
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,priv,Italien,2
23.11.2020,zh,2001,Sekundarstufe I,Handelsmittelschule,M,oef,Asien,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,priv,Asien,3
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,priv,Schweiz,189
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Portugal,9
23.11.2020,zh,2001,Sekundarstufe I,Handelsmittelschule,M,oef,Serbien,1
23.11.2020,zh,2001,Sekundarstufe I,Handelsmittelschule,F,oef,Nordmazedonien,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Nordamerika,3
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,priv,Süd-/Osteuropa,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Nord-/Westeuropa,9
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Asien,20
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Frankreich,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Griechenland,4
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Kroatien,12
23.11.2020,zh,2001,Sekundarstufe II,Diplommittelschule,M,oef,Nordamerika,1
23.11.2020,zh,2001,Sekundarstufe II,Gymnasium,M,oef,Serbien,20
23.11.2020,zh,2001,Sekundarstufe II,Gymnasium,M,oef,Schweiz,3458
23.11.2020,zh,2001,Sekundarstufe II,andere,M,priv,Mittel- und Südamerika,2
23.11.2020,zh,2001,Sekundarstufe II,Gymnasium,F,priv,Nord-/Westeuropa,2
23.11.2020,zh,2001,Sekundarstufe II,Handelsmittelschule,M,oef,Kroatien,1
23.11.2020,zh,2001,Sekundarstufe II,Gymnasium,F,priv,Asien,2
23.11.2020,zh,2001,Sekundarstufe II,andere,F,priv,Spanien,2
23.11.2020,zh,2001,Sekundarstufe II,andere,F,priv,Afrika,9
23.11.2020,zh,2001,Sekundarstufe II,Gymnasium,M,oef,Kroatien,7
23.11.2020,zh,2001,Sekundarstufe II,Gymnasium,F,oef,Kroatien,10
23.11.2020,zh,2001,Sekundarstufe II,Gymnasium,F,oef,Nordmazedonien,4
23.11.2020,zh,2001,Sekundarstufe II,andere,M,priv,Spanien,3
23.11.2020,zh,2001,Sekundarstufe II,Diplommittelschule,F,priv,Schweiz,33
23.11.2020,zh,2001,Sekundarstufe II,Gymnasium,M,oef,Spanien,18
23.11.2020,zh,2001,Sekundarstufe II,Diplommittelschule,M,oef,Schweiz,27
23.11.2020,zh,2001,Sekundarstufe II,andere,M,priv,Deutschland,17
23.11.2020,zh,2001,Sekundarstufe II,Gymnasium,M,oef,Frankreich,5
